transaction_id,customer_id,amount,time,location,is_fraud
TRANS_1668,CUST_257,3871.09,10,Loja Física,0
TRANS_731,CUST_391,4222.56,23,Online,1
TRANS_1644,CUST_360,4451.62,20,Online,0
TRANS_499,CUST_342,2698.11,4,Online,0
TRANS_827,CUST_146,2305.39,2,Online,0
TRANS_1869,CUST_149,192.67,6,Online,0
TRANS_461,CUST_373,1869.39,11,Loja Física,0
TRANS_1839,CUST_313,1768.49,3,Online,0
TRANS_1721,CUST_495,3372.28,7,Loja Física,1
TRANS_1648,CUST_224,562.0,13,Loja Física,1
TRANS_593,CUST_319,4788.34,21,Online,0
TRANS_805,CUST_379,3284.11,6,Loja Física,0
TRANS_495,CUST_280,1287.6,22,Online,0
TRANS_1082,CUST_66,925.2,20,Loja Física,0
TRANS_448,CUST_317,3990.08,21,Online,1
TRANS_1804,CUST_201,1992.19,15,Online,0
TRANS_104,CUST_351,3417.88,20,Online,0
TRANS_478,CUST_253,3041.49,5,Loja Física,1
TRANS_337,CUST_424,4545.62,6,Loja Física,1
TRANS_1866,CUST_371,2697.78,15,Online,1
TRANS_1590,CUST_436,3945.72,23,Online,1
TRANS_470,CUST_302,2597.81,11,Loja Física,0
TRANS_1309,CUST_223,2097.64,17,Online,1
TRANS_381,CUST_408,564.04,17,Online,0
TRANS_1411,CUST_286,2710.82,18,Online,1
TRANS_1746,CUST_161,224.28,5,Loja Física,1
TRANS_785,CUST_445,4839.46,12,Loja Física,1
TRANS_1295,CUST_318,4775.53,0,Online,0
TRANS_433,CUST_365,3290.94,4,Online,0
TRANS_583,CUST_308,1625.05,13,Online,0
TRANS_1089,CUST_226,4412.67,17,Loja Física,0
TRANS_127,CUST_157,4404.95,13,Online,1
TRANS_432,CUST_230,537.43,2,Online,1
TRANS_224,CUST_340,3429.4,23,Online,1
TRANS_1625,CUST_63,2085.44,6,Online,0
TRANS_935,CUST_259,2940.91,10,Online,0
TRANS_1775,CUST_393,4886.65,15,Online,0
TRANS_859,CUST_327,4959.09,12,Online,0
TRANS_949,CUST_373,4210.46,4,Loja Física,0
TRANS_927,CUST_305,2109.13,7,Online,0
TRANS_203,CUST_143,160.51,5,Online,0
TRANS_82,CUST_206,1122.97,6,Online,1
TRANS_166,CUST_360,4867.58,16,Online,0
TRANS_155,CUST_328,4686.46,23,Online,1
TRANS_1328,CUST_392,2672.17,9,Online,1
TRANS_448,CUST_317,3990.08,21,Online,1
TRANS_1999,CUST_273,3163.25,23,Online,1
TRANS_782,CUST_177,1328.91,14,Online,0
TRANS_29,CUST_192,3139.39,1,Online,1
TRANS_1741,CUST_432,1377.15,10,Online,1
TRANS_1275,CUST_320,1988.09,19,Loja Física,0
TRANS_1096,CUST_347,3175.18,4,Online,1
TRANS_1507,CUST_130,718.54,1,Loja Física,0
TRANS_1571,CUST_346,276.39,13,Online,0
TRANS_1324,CUST_441,3621.25,15,Online,1
TRANS_1335,CUST_410,223.48,15,Online,0
TRANS_1291,CUST_4,3571.59,23,Loja Física,1
TRANS_60,CUST_21,4713.95,8,Online,1
TRANS_1324,CUST_441,3621.25,15,Online,1
TRANS_924,CUST_402,4991.75,0,Online,1
TRANS_1833,CUST_87,2910.2,19,Online,0
TRANS_996,CUST_374,3655.45,9,Loja Física,1
TRANS_1202,CUST_207,4514.96,3,Loja Física,0
TRANS_1207,CUST_14,930.72,23,Online,1
TRANS_959,CUST_28,3648.89,23,Loja Física,1
TRANS_385,CUST_456,4683.35,7,Online,0
TRANS_1144,CUST_360,1139.76,12,Online,0
TRANS_1234,CUST_473,3037.41,14,Loja Física,0
TRANS_1689,CUST_266,122.86,15,Online,0
TRANS_472,CUST_95,133.08,22,Online,0
TRANS_1661,CUST_429,2977.68,4,Online,1
TRANS_868,CUST_445,1780.15,23,Loja Física,0
TRANS_814,CUST_181,4715.66,18,Online,0
TRANS_1493,CUST_228,1796.78,20,Online,0
TRANS_563,CUST_444,525.03,10,Online,0
TRANS_1661,CUST_429,2977.68,4,Online,1
TRANS_1769,CUST_20,954.59,18,Online,1
TRANS_1598,CUST_25,2471.6,3,Loja Física,0
TRANS_478,CUST_253,3041.49,5,Loja Física,1
TRANS_834,CUST_401,4923.43,7,Online,1
TRANS_110,CUST_252,4124.28,23,Online,1
TRANS_1821,CUST_341,1205.79,6,Online,0
TRANS_1741,CUST_432,1377.15,10,Online,1
TRANS_240,CUST_461,3476.43,6,Online,0
TRANS_1016,CUST_385,343.0,13,Online,1
TRANS_5,CUST_107,3482.96,23,Online,1
TRANS_491,CUST_58,4672.51,14,Loja Física,0
TRANS_1487,CUST_353,2386.83,20,Online,0
TRANS_1501,CUST_261,4143.2,10,Online,0
TRANS_519,CUST_355,3167.59,23,Loja Física,1
TRANS_37,CUST_236,556.82,14,Online,0
TRANS_1294,CUST_446,4119.83,21,Loja Física,0
TRANS_1662,CUST_477,54.57,7,Online,0
TRANS_1473,CUST_441,4780.46,20,Loja Física,0
TRANS_1673,CUST_194,89.65,10,Online,1
TRANS_1868,CUST_29,2129.01,15,Online,0
TRANS_1418,CUST_78,292.95,19,Online,0
TRANS_198,CUST_222,4919.97,2,Loja Física,0
TRANS_612,CUST_290,2607.19,8,Online,0
TRANS_445,CUST_448,3339.63,9,Online,0
TRANS_312,CUST_395,4342.02,0,Online,0
TRANS_1150,CUST_195,1530.03,21,Online,0
TRANS_1579,CUST_438,318.13,20,Loja Física,1
TRANS_276,CUST_81,3571.86,7,Loja Física,0
TRANS_431,CUST_38,3257.91,16,Online,1
TRANS_17,CUST_100,126.88,17,Online,0
TRANS_1701,CUST_391,2371.68,6,Online,0
TRANS_731,CUST_391,4222.56,23,Online,1
TRANS_794,CUST_384,3221.3,8,Loja Física,0
TRANS_1672,CUST_498,632.12,23,Online,0
TRANS_3,CUST_349,607.23,23,Loja Física,1
TRANS_1721,CUST_495,3372.28,7,Loja Física,1
TRANS_1249,CUST_13,359.31,9,Online,0
TRANS_343,CUST_267,2463.93,16,Online,0
TRANS_484,CUST_323,982.91,12,Online,0
TRANS_911,CUST_303,1674.52,19,Loja Física,0
TRANS_405,CUST_445,154.72,18,Online,1
TRANS_522,CUST_408,4096.85,7,Online,0
TRANS_1306,CUST_229,2283.9,22,Online,0
TRANS_857,CUST_500,1237.16,19,Online,0
TRANS_133,CUST_9,3718.82,10,Loja Física,0
TRANS_869,CUST_364,3920.04,7,Online,0
TRANS_378,CUST_54,2928.85,20,Online,0
TRANS_1741,CUST_432,1377.15,10,Online,1
TRANS_464,CUST_380,3019.23,10,Online,0
TRANS_1560,CUST_29,4113.56,1,Online,0
TRANS_1081,CUST_398,1014.07,17,Online,0
TRANS_1190,CUST_319,3519.91,11,Online,0
TRANS_895,CUST_348,469.49,20,Loja Física,0
TRANS_1619,CUST_180,2291.21,11,Loja Física,0
TRANS_73,CUST_340,4639.12,23,Online,1
TRANS_20,CUST_131,4374.13,16,Online,0
TRANS_1759,CUST_303,4974.12,23,Online,1
TRANS_1152,CUST_93,170.78,16,Loja Física,1
TRANS_531,CUST_264,1188.17,5,Online,0
TRANS_699,CUST_179,3078.02,16,Online,0
TRANS_1890,CUST_36,1629.85,18,Online,1
TRANS_290,CUST_130,1239.28,13,Online,0
TRANS_151,CUST_41,1712.65,9,Online,1
TRANS_1027,CUST_259,2061.77,18,Online,0
TRANS_1016,CUST_385,343.0,13,Online,1
TRANS_3,CUST_349,607.23,23,Loja Física,1
TRANS_319,CUST_326,205.35,9,Online,0
TRANS_646,CUST_238,409.19,23,Loja Física,0
TRANS_959,CUST_28,3648.89,23,Loja Física,1
TRANS_231,CUST_231,3988.81,22,Online,0
TRANS_260,CUST_472,1987.63,15,Loja Física,0
TRANS_283,CUST_343,4087.4,21,Online,0
TRANS_60,CUST_21,4713.95,8,Online,1
TRANS_512,CUST_246,2838.72,23,Online,0
TRANS_121,CUST_217,4185.88,20,Online,0
TRANS_1514,CUST_282,447.58,7,Online,1
TRANS_1638,CUST_148,3694.29,22,Online,0
TRANS_441,CUST_286,3693.55,22,Online,0
TRANS_57,CUST_485,839.33,0,Online,0
TRANS_924,CUST_402,4991.75,0,Online,1
TRANS_1626,CUST_491,4111.79,13,Online,0
TRANS_1792,CUST_224,3173.65,17,Loja Física,1
TRANS_756,CUST_487,3185.17,23,Loja Física,1
TRANS_1291,CUST_4,3571.59,23,Loja Física,1
TRANS_1171,CUST_12,558.05,5,Online,0
TRANS_422,CUST_176,4345.18,15,Online,0
TRANS_756,CUST_487,3185.17,23,Loja Física,1
TRANS_1256,CUST_109,4857.81,1,Loja Física,0
TRANS_1792,CUST_224,3173.65,17,Loja Física,1
TRANS_234,CUST_385,63.04,4,Online,0
TRANS_919,CUST_164,2172.93,1,Online,1
TRANS_73,CUST_340,4639.12,23,Online,1
TRANS_1967,CUST_266,1552.39,14,Loja Física,0
TRANS_367,CUST_37,1247.33,8,Online,1
TRANS_1180,CUST_73,3771.04,5,Online,0
TRANS_1746,CUST_161,224.28,5,Loja Física,1
TRANS_471,CUST_181,2398.51,18,Online,1
TRANS_58,CUST_307,4955.89,15,Loja Física,0
TRANS_387,CUST_422,614.94,5,Online,1
TRANS_31,CUST_277,4920.5,9,Online,0
TRANS_471,CUST_181,2398.51,18,Online,1
TRANS_344,CUST_476,1239.92,6,Online,0
TRANS_1016,CUST_385,343.0,13,Online,1
TRANS_249,CUST_165,2496.95,2,Loja Física,0
TRANS_357,CUST_112,658.71,23,Online,1
TRANS_307,CUST_325,3402.74,23,Online,1
TRANS_1121,CUST_69,872.94,23,Loja Física,0
TRANS_796,CUST_339,214.55,11,Online,0
TRANS_870,CUST_182,2773.36,17,Loja Física,0
TRANS_155,CUST_328,4686.46,23,Online,1
TRANS_476,CUST_116,2902.96,14,Online,0
TRANS_215,CUST_170,3132.97,14,Loja Física,0
TRANS_478,CUST_253,3041.49,5,Loja Física,1
TRANS_1259,CUST_228,984.51,22,Loja Física,0
TRANS_1423,CUST_237,1739.65,15,Online,0
TRANS_1247,CUST_25,2533.8,15,Online,0
TRANS_1508,CUST_411,3768.37,9,Online,0
TRANS_1600,CUST_75,3165.4,0,Online,0
TRANS_1559,CUST_51,3571.19,9,Online,1
TRANS_60,CUST_21,4713.95,8,Online,1
TRANS_55,CUST_320,2339.67,9,Online,1
TRANS_110,CUST_252,4124.28,23,Online,1
TRANS_1860,CUST_310,1664.29,2,Online,1
TRANS_358,CUST_500,4849.26,23,Loja Física,1
TRANS_1673,CUST_194,89.65,10,Online,1
TRANS_1597,CUST_244,3436.66,15,Online,0
TRANS_1328,CUST_392,2672.17,9,Online,1
TRANS_1096,CUST_347,3175.18,4,Online,1
TRANS_375,CUST_131,2375.78,14,Loja Física,1
TRANS_5,CUST_107,3482.96,23,Online,1
TRANS_1438,CUST_63,2380.35,19,Online,0
TRANS_5,CUST_107,3482.96,23,Online,1
TRANS_1948,CUST_81,3519.98,12,Online,0
TRANS_1227,CUST_493,2154.98,12,Online,1
TRANS_175,CUST_131,3853.19,10,Online,0
TRANS_405,CUST_445,154.72,18,Online,1
TRANS_1866,CUST_371,2697.78,15,Online,1
TRANS_225,CUST_286,2154.38,9,Loja Física,0
TRANS_1233,CUST_192,2219.68,23,Online,0
TRANS_38,CUST_345,1776.34,5,Loja Física,0
TRANS_30,CUST_444,4369.02,23,Loja Física,1
TRANS_82,CUST_206,1122.97,6,Online,1
TRANS_1906,CUST_201,3904.26,0,Online,0
TRANS_726,CUST_458,4798.09,22,Online,0
TRANS_1866,CUST_371,2697.78,15,Online,1
TRANS_1984,CUST_328,3108.36,15,Online,0
TRANS_336,CUST_417,3580.55,16,Loja Física,0
TRANS_991,CUST_251,2803.04,2,Online,1
TRANS_1474,CUST_97,1006.37,18,Online,1
TRANS_1032,CUST_165,4032.99,15,Online,0
TRANS_1204,CUST_127,3340.68,15,Online,1
TRANS_1585,CUST_431,513.95,23,Online,0
TRANS_1901,CUST_482,3306.77,8,Loja Física,0
TRANS_1705,CUST_313,3927.02,18,Online,0
TRANS_965,CUST_411,3286.49,18,Online,1
TRANS_1983,CUST_176,1768.03,22,Online,0
TRANS_1016,CUST_385,343.0,13,Online,1
TRANS_572,CUST_103,1137.15,18,Loja Física,0
TRANS_1244,CUST_474,4752.9,18,Online,0
TRANS_375,CUST_131,2375.78,14,Loja Física,1
TRANS_1641,CUST_476,1978.68,14,Loja Física,0
TRANS_1183,CUST_47,4814.24,17,Online,0
